Initials ,Date,Course_id,Time (m),Summary 
MZ,9/5/23,DS-160 ,75,Class
MZ,9/5/23,ECON-410,75,Class
MZ,9/5/23,DS-300,75,Class
MZ,9/5/23,DS-300,60,Group HW
MZ,9/5/23,MATH-430,60,Group HW
MZ,9/5/23,BUSA-245,50,Chapter reading
MZ,9/6/23,BUSA-245,75,Class
MZ,9/6/23,MATH-430,75,Class
MZ,9/6/23,DS-300,60,Group HW
MZ,9/6/23,DS-160 ,120,Podcast Summary
MZ,9/7/23,DS-160 ,75,Class
MZ,9/7/23,ECON-410,75,Class
MZ,9/7/23,DS-300,75,Class
MZ,9/8/23,BUSA-245,240,HW & Ch. Reading
MZ,9/9/23,BUSA-245,50,HW & Ch. Reading
MZ,9/9/23,ECON-410,50,Review + Ch. Reading
MZ,9/10/23,MATH-430,170,Review + Ch. Reading
MZ,9/11/23,BUSA-245,75,Class
MZ,9/11/23,MATH-430,75,Class
MZ,9/11/23,DS-160 ,50,Pandas Practice Problems
MZ,9/11/23,Unset ,100,Other
MZ,9/11/23,BUSA-245,50,Chapter reading 
MZ,9/12/23,DS-160 ,75,Class
MZ,9/12/23,ECON-410,75,Class
MZ,9/12/23,DS-300,75,Class
MZ,9/12/23,DS-300,100,Chapter reading
MZ,9/12/23,BUSA-245,50,HW 
MZ,9/13/23,BUSA-245,75,Class
MZ,9/13/23,MATH-430,75,Class
MZ,9/13/23,DS-300,85,Chapter reading
MZ,9/14/23,DS-160 ,75,Class
MZ,9/14/23,ECON-410,75,Class
MZ,9/14/23,DS-300,75,Class
MZ,9/14/23,Unset ,30,Other
MZ,9/15/23,DS-300,120,Group HW
MZ,9/15/23,MATH-430,50,Chapter reading
MZ,9/15/23,BUSA-245,40,Chapter reading
MZ,9/16/23,MATH-430,100,Chapter reading
MZ,9/17/23,ECON-410,100,Chapter reading
MZ,9/18/23,BUSA-245,75,Class
MZ,9/18/23,MATH-430,75,Class
MZ,9/18/23,DS-160 ,75,Review
MZ,9/19/23,DS-160 ,75,Class
MZ,9/19/23,ECON-410,75,Class
MZ,9/19/23,DS-300,75,Class
MZ,9/19/23,BUSA-245,135,Chapter reading
MZ,9/19/23,DS-300,50,Group HW
MZ,9/19/23,ECON-410,50,Chapter reading
MZ,9/19/23,DS-160 ,30,Review + Updating Excel sheet
MZ,9/20/23,BUSA-245,75,Class
MZ,9/20/23,MATH-430,75,Class
MZ,9/20/23,ECON-410,140,Studying for quiz
MZ,9/21/23,ECON-410,200,Studying for quiz + chapter reading
MZ,9/21/23,DS-160 ,75,Class
MZ,9/21/23,ECON-410,75,Class
MZ,9/21/23,DS-300,75,Class
MZ,9/22/23,BUSA-245,75,Chapter reading
MZ,9/22/23,ECON-410,50,Chapter reading
MZ,9/23/23,BUSA-245,60,HW & Ch. Reading
MZ,9/23/23,ECON-410,50,Chapter reading
MZ,9/25/23,BUSA-245,75,Class
MZ,9/25/23,MATH-430,75,Class
MZ,9/25/23,ECON-410,110,Chapter reading
MZ,9/26/23,DS-160 ,75,Class
MZ,9/26/23,ECON-410,75,Class
MZ,9/26/23,DS-300,75,Class
MZ,9/26/23,DS-160 ,50,Review + Updating Excel sheet
MZ,9/27/23,ECON-410,120,Studying for test
MZ,,,,
MZ,,,,
MZ,,,,
MZ,,,,
MZ,,,,
MZ,,,,
MZ,,,,
MZ,,,,
MZ,,,,
MZ,,,,
MZ,,,,
MZ,,,,
MZ,,,,
MZ,,,,
MZ,,,,
MZ,,,,
MZ,,,,
MZ,,,,
MZ,,,,
MZ,,,,
MZ,,,,
MZ,,,,
MZ,,,,
MZ,,,,
MZ,,,,
MZ,,,,
